input1,input2,output
12280,9584,8052
9584,8052,7907
8052,7907,9752
7907,9752,20970
9752,20970,13588
20970,13588,13588
13588,13588,15400
13588,15400,20276
15400,20276,12157
20276,12157,9327
12157,9327,7739
9327,7739,9383
7739,9383,14237
9383,14237,16239
14237,16239,14874
16239,14874,17547
14874,17547,10613
17547,10613,23162
10613,23162,17583
23162,17583,18971
17583,18971,15109
18971,15109,22770
15109,22770,14662
22770,14662,8723
14662,8723,7124
8723,7124,7079
7124,7079,6956
7079,6956,4920
6956,4920,9797
4920,9797,6699
9797,6699,7448
6699,7448,17200
7448,17200,16686
17200,16686,11978
16686,11978,8052
11978,8052,7437
8052,7437,6352
7437,6352,7336
6352,7336,5994
7336,5994,6184
5994,6184,6028
6184,6028,14080
6028,14080,10244
14080,10244,9864
10244,9864,7795
9864,7795,8298
7795,8298,7638
8298,7638,9931
7638,9931,9036
9931,9036,10882
9036,10882,10759
10882,10759,15314
10759,15314,15802
15314,15802,18386
15802,18386,22826
18386,22826,11564
22826,11564,18375
11564,18375,17916
18375,17916,14505
17916,14505,30890
14505,30890,32556
30890,32556,30029
32556,30029,26707
30029,26707,17167
26707,17167,27702
17167,27702,23587
27702,23587,16440
23587,16440,9629
16440,9629,3657
9629,3657,13733
3657,13733,16831
13733,16831,25465
16831,25465,11508
25465,11508,17402
11508,17402,12190
17402,12190,17760
12190,17760,9786
17760,9786,9562
9786,9562,13040
9562,13040,16194
13040,16194,23821
16194,23821,20981
23821,20981,14382
20981,14382,16474
14382,16474,8634
16474,8634,4428
8634,4428,12772
4428,12772,13241
12772,13241,20500
13241,20500,21014
20500,21014,9987
21014,9987,19661
9987,19661,6688
19661,6688,12313
6688,12313,9819
12313,9819,6900
9819,6900,4428
6900,4428,4495
4428,4495,3075
4495,3075,648
3075,648,2706
648,2706,3858
2706,3858,2393
3858,2393,995
2393,995,838
995,838,2001
838,2001,1979
2001,1979,1286
1979,1286,726
1286,726,447
726,447,279
447,279,816
279,816,123
816,123,536
123,536,548
536,548,1107
548,1107,917
1107,917,682
917,682,369
682,369,1028
369,1028,324
1028,324,2963
324,2963,5323
2963,5323,5077
5323,5077,4607
5077,4607,7217
4607,7217,7705
7217,7705,11363
7705,11363,11329
11363,11329,16675
11329,16675,11720
16675,11720,12727
11720,12727,11843
12727,11843,13264
11843,13264,18420
13264,18420,7784
18420,7784,12660
7784,12660,15029
12660,15029,11362
15029,11362,8343
11362,8343,11094
8343,11094,7124
11094,7124,2896
7124,2896,6475
2896,6475,7258
6475,7258,7370
7258,7370,8779
7370,8779,9103
8779,9103,10065
9103,10065,10904
10065,10904,10378
10904,10378,6095
10378,6095,6688
6095,6688,6900
6688,6900,7716
6900,7716,10177
7716,10177,9148
10177,9148,13980
9148,13980,16664
13980,16664,23195
16664,23195,18979
23195,18979,24079
18979,24079,22938
24079,22938,16406
22938,16406,9864
16406,9864,10971
9864,10971,10043
10971,10043,10960
10043,10960,11295
10960,11295,11855
11295,11855,12660
11855,12660,13286
12660,13286,9819
13286,9819,8455
9819,8455,9282
8455,9282,10714
9282,10714,12369
10714,12369,10322
12369,10322,11743
10322,11743,11553
11743,11553,11407
11553,11407,11635
11407,11635,10781
11635,10781,10557
10781,10557,12056
10557,12056,12705
12056,12705,13689
12705,13689,14427
13689,14427,17939
14427,17939,12749
17939,12749,10311
12749,10311,8980
10311,8980,9551
8980,9551,10360
9551,10360,10580
10360,10580,12481
10580,12481,13510
12481,13510,12526
13510,12526,12906
12526,12906,5413
12906,5413,4943
5413,4943,6799
4943,6799,7605
6799,7605,9282
7605,9282,8298
9282,8298,11195
8298,11195,21987
11195,21987,17883
21987,17883,17223
17883,17223,15378
17223,15378,15020
15378,15020,15802
15020,15802,14885
15802,14885,14528
14885,14528,11922
14528,11922,8007
11922,8007,17491
8007,17491,19818
17491,19818,17212
19818,17212,15858
17212,15858,16619
15858,16619,14192
16619,14192,16798
14192,16798,17670
16798,17670,15355
17670,15355,15981
15355,15981,12626
15981,12626,13778
12626,13778,15187
13778,15187,13510
15187,13510,14047
13510,14047,13510
14047,13510,13118
13510,13118,15735
13118,15735,13466
15735,13466,13890
13466,13890,13890
13890,13890,14494
13890,14494,14293
14494,14293,13711
14293,13711,14337
13711,14337,13801
14337,13801,13745
13801,13745,6408
13745,6408,11217
6408,11217,7426
11217,7426,7135
7426,7135,7851
7135,7851,8790
7851,8790,8846
8790,8846,10490
8846,10490,8320
10490,8320,11049
8320,11049,7303
11049,7303,21529
7303,21529,22562
21529,22562,18822
22562,18822,18945
18822,18945,13957
18945,13957,15210
13957,15210,14226
15210,14226,15903
14226,15903,16932
15903,16932,18252
16932,18252,15523
18252,15523,17827
15523,17827,16932
17827,16932,15143
16932,15143,15769
15143,15769,16708
15769,16708,18587
16708,18587,17715
18587,17715,12414
17715,12414,14091
12414,14091,15344
14091,15344,15143
15344,15143,12973
15143,12973,14829
12973,14829,14315
14829,14315,12984
14315,12984,8689
12984,8689,7068
8689,7068,6620
7068,6620,6240
6620,6240,6229
6240,6229,7739
6229,7739,8891
7739,8891,10132
8891,10132,11418
10132,11418,10714
11418,10714,10490
10714,10490,10759
10490,10759,15020
10759,15020,15825
15020,15825,15053
15825,15053,12850
15053,12850,15892
12850,15892,13308
15892,13308,13644
13308,13644,13555
13644,13555,10624
13555,10624,12335
10624,12335,11877
12335,11877,10960
11877,10960,10177
10960,10177,11989
10177,11989,12749
11989,12749,13130
12749,13130,12212
13130,12212,13510
12212,13510,14941
13510,14941,12548
14941,12548,14740
12548,14740,13592
14740,13592,14751
13592,14751,12738
14751,12738,14315
12738,14315,10266
14315,10266,7515
10266,7515,7314
7515,7314,7694
7314,7694,8209
7694,8209,9204
8209,9204,10736
9204,10736,11765
10736,11765,12011
11765,12011,13040
12011,13040,8578
13040,8578,20254
8578,20254,20064
20254,20064,18274
20064,18274,13610
18274,13610,14673
13610,14673,15836
14673,15836,17558
15836,17558,18766
17558,18766,19180
18766,19180,10468
19180,10468,13868
10468,13868,13085
13868,13085,10848
13085,10848,11866
10848,11866,12123
11866,12123,5492
12123,5492,5804
5492,5804,3344
5804,3344,8253
3344,8253,7694
8253,7694,15758
7694,15758,3981
15758,3981,6140
3981,6140,1073
6140,1073,11676
1073,11676,26830
11676,26830,19460
26830,19460,30767
19460,30767,45809
30767,45809,24761
45809,24761,25779
24761,25779,23676
25779,23676,12671
23676,12671,14684
12671,14684,16060
14684,16060,12179
16060,12179,16172
12179,16172,14852
16172,14852,15724
14852,15724,15098
15724,15098,13789
15098,13789,9789
13789,9789,9126
9789,9126,8578
9126,8578,8991
8578,8991,8790
8991,8790,8991
8790,8991,9707
8991,9707,10736
9707,10736,10826
10736,10826,10557
10826,10557,11586
10557,11586,11899
11586,11899,12391
11899,12391,11698
12391,11698,9595
11698,9595,7694
9595,7694,7582
7694,7582,9573
7582,9573,10356
9573,10356,8947
10356,8947,10535
8947,10535,10725
10535,10725,7045
10725,7045,24123
7045,24123,28686
24123,28686,24850
28686,24850,23106
24850,23106,18878
23106,18878,11418
18878,11418,9987
11418,9987,7761
9987,7761,8264
7761,8264,8343
8264,8343,9629
8343,9629,9875
9629,9875,12716
9875,12716,15288
12716,15288,13096
15288,13096,14338
13096,14338,14338
14338,14338,18666
14338,18666,20086
18666,20086,19728
20086,19728,15993
19728,15993,20421
15993,20421,53828
20421,53828,37209
53828,37209,43651
37209,43651,22345
43651,22345,19572
22345,19572,8857
19572,8857,24146
8857,24146,23747
24146,23747,11385
23747,11385,17022
11385,17022,18319
17022,18319,17547
18319,17547,15008
17547,15008,9797
15008,9797,10266
9797,10266,11228
10266,11228,13018
11228,13018,14226
13018,14226,11128
14226,11128,8287
11128,8287,7493
8287,7493,7750
7493,7750,8119
7750,8119,8656
8119,8656,9730
8656,9730,11564
9730,11564,13286
11564,13286,11374
13286,11374,14170
11374,14170,15534
14170,15534,15534
15534,15534,2460
15534,2460,11
2460,11,0
11,0,11
0,11,1
11,1,21518
1,21518,22971
21518,22971,13935
22971,13935,17123
13935,17123,12078
17123,12078,10266
12078,10266,10177
10266,10177,12503
10177,12503,14192
12503,14192,15411
14192,15411,16854
15411,16854,19683
16854,19683,16440
19683,16440,14528
16440,14528,12369
14528,12369,11966
12369,11966,12123
11966,12123,10960
12123,10960,13443
10960,13443,8913
13443,8913,7649
8913,7649,6542
7649,6542,4216
6542,4216,2639
4216,2639,4205
2639,4205,9931
4205,9931,11944
9931,11944,11497
11944,11497,13018
11497,13018,12995
13018,12995,11586
12995,11586,7113
11586,7113,10490
7113,10490,14897
10490,14897,22457
14897,22457,23933
22457,23933,26405
23933,26405,27031
26405,27031,12548
27031,12548,26025
12548,26025,20846
26025,20846,9752
20846,9752,14908
9752,14908,14908
14908,14908,32914
14908,32914,14472
32914,14472,27501
14472,27501,7661
27501,7661,22312
7661,22312,16328
22312,16328,28049
16328,28049,6553
28049,6553,10691
6553,10691,10848
10691,10848,3959
10848,3959,9611
3959,9611,15784
9611,15784,21249
15784,21249,10266
21249,10266,8636
10266,8636,9629
8636,9629,16585
9629,16585,4328
16585,4328,9528
4328,9528,2851
9528,2851,15154
2851,15154,9875
15154,9875,4261
9875,4261,1890
4261,1890,22
1890,22,4361
22,4361,894
4361,894,10658
894,10658,12817
10658,12817,16239
12817,16239,9942
16239,9942,10445
9942,10445,17894
10445,17894,12682
17894,12682,14237
12682,14237,12660
14237,12660,8287
12660,8287,12257
8287,12257,15624
12257,15624,14158
15624,14158,17860
14158,17860,18565
17860,18565,15590
18565,15590,14684
15590,14684,15064
14684,15064,18945
15064,18945,15109
18945,15109,7705
15109,7705,8253
7705,8253,11485
8253,11485,6654
11485,6654,3925
6654,3925,5345
3925,5345,7683
5345,7683,23352
7683,23352,11430
23352,11430,12447
11430,12447,12682
12447,12682,10334
12682,10334,4495
10334,4495,12973
4495,12973,24314
12973,24314,24314
24314,24314,26707
24314,26707,22681
26707,22681,8332
22681,8332,19135
8332,19135,18856
19135,18856,18084
18856,18084,7482
18084,7482,10703
7482,10703,11284
10703,11284,8835
11284,8835,14404
8835,14404,20526
14404,20526,15053
20526,15053,12089
15053,12089,15344
12089,15344,21629
15344,21629,22446
21629,22446,21663
22446,21663,20332
21663,20332,24202
20332,24202,26192
24202,26192,28608
26192,28608,32702
28608,32702,44255
32702,44255,38950
44255,38950,24056
38950,24056,36213
24056,36213,46480
36213,46480,30006
46480,30006,26125
30006,26125,15053
26125,15053,25007
15053,25007,14103
25007,14103,15422
14103,15422,13197
15422,13197,13890
13197,13890,13868
13890,13868,12995
13868,12995,12828
12995,12828,11855
12828,11855,12503
11855,12503,11989
12503,11989,15176
11989,15176,13924
15176,13924,17133
13924,17133,11374
17133,11374,32277
11374,32277,18174
32277,18174,7470
18174,7470,12559
7470,12559,22010
12559,22010,11888
22010,11888,23889
11888,23889,35073
23889,35073,34211
35073,34211,26584
34211,26584,12716
26584,12716,5983
12716,5983,25913
5983,25913,28575
25913,28575,21864
28575,21864,20779
21864,20779,23094
20779,23094,24381
23094,24381,26696
24381,26696,21160
26696,21160,20489
21160,20489,18845
20489,18845,19706
18845,19706,20958
19706,20958,17435
20958,17435,19482
17435,19482,20880
19482,20880,21216
20880,21216,19549
21216,19549,13320
19549,13320,10937
13320,10937,12458
10937,12458,13532
12458,13532,14103
13532,14103,16753
14103,16753,16753
16753,16753,17391
16753,17391,17268
17391,17268,18833
17268,18833,19102
18833,19102,20522
19102,20522,19281
20522,19281,19572
19281,19572,20041
19572,20041,23199
20041,23199,28228
23199,28228,17480
28228,17480,21786
17480,21786,21450
21786,21450,35654
21450,35654,50652
35654,50652,38663
50652,38663,39065
38663,39065,35721
39065,35721,26192
35721,26192,30454
26192,30454,39088
30454,39088,22144
39088,22144,24504
22144,24504,24090
24504,24090,23273
24090,23273,14080
23273,14080,19314
14080,19314,18598
19314,18598,22479
18598,22479,31102
22479,31102,28094
31102,28094,10637
28094,10637,17092
10637,17092,26483
17092,26483,28474
26483,28474,21350
28474,21350,19337
21350,19337,25164
19337,25164,27852
25164,27852,30084
27852,30084,28150
30084,28150,28821
28150,28821,19996
28821,19996,19504
19996,19504,16194
19504,16194,17581
16194,17581,15646
17581,15646,15758
15646,15758,17122
15758,17122,15948
17122,15948,14159
15948,14159,13454
14159,13454,12559
13454,12559,48683
12559,48683,41917
48683,41917,42118
41917,42118,27702
42118,27702,20366
27702,20366,19896
20366,19896,34547
19896,34547,28083
34547,28083,15064
28083,15064,15064
15064,15064,23206
15064,23206,13890
23206,13890,13711
13890,13711,15400
13711,15400,13074
15400,13074,14807
13074,14807,14237
14807,14237,13331
14237,13331,10647
13331,10647,15780
10647,15780,17972
15780,17972,15993
17972,15993,17737
15993,17737,6520
17737,6520,13700
6520,13700,13208
13700,13208,3131
13208,3131,10382
3131,10382,9003
10382,9003,10725
9003,10725,16910
10725,16910,14483
16910,14483,13320
14483,13320,6989
13320,6989,14718
6989,14718,11060
14718,11060,6184
11060,6184,14158
6184,14158,7336
14158,7336,13443
7336,13443,8276
13443,8276,10345
8276,10345,7552
10345,7552,9439
7552,9439,10714
9439,10714,8018
10714,8018,6453
8018,6453,7359
6453,7359,8477
7359,8477,2751
8477,2751,8511
2751,8511,8466
8511,8466,6408
8466,6408,14595
6408,14595,11978
14595,11978,13443
11978,13443,22692
13443,22692,18610
22692,18610,33954
18610,33954,16339
33954,16339,25510
16339,25510,28228
25510,28228,15344
28228,15344,19348
15344,19348,30342
19348,30342,31371
30342,31371,23944
31371,23944,20332
23944,20332,18777
20332,18777,14103
18777,14103,18710
14103,18710,19258
18710,19258,15858
19258,15858,19247
15858,19247,13241
19247,13241,11228
13241,11228,11653
11228,11653,10501
11653,10501,11944
10501,11944,10960
11944,10960,9372
10960,9372,10759
9372,10759,10114
10759,10114,11430
10114,11430,12302
11430,12302,12011
12302,12011,11966
12011,11966,12906
11966,12906,12693
12906,12693,15042
12693,15042,13823
15042,13823,12458
13823,12458,13901
12458,13901,14460
13901,14460,11922
14460,11922,14114
11922,14114,15120
14114,15120,13085
15120,13085,13062
13085,13062,14360
13062,14360,14528
14360,14528,12134
14528,12134,11262
12134,11262,10580
11262,10580,11094
10580,11094,13331
11094,13331,12772
13331,12772,15221
12772,15221,17648
15221,17648,23016
17648,23016,29704
23016,29704,32914
29704,32914,25823
32914,25823,26506
25823,26506,22759
26506,22759,26137
22759,26137,25622
26137,25622,27132
25622,27132,20634
27132,20634,25667
20634,25667,20410
25667,20410,22658
20410,22658,17894
22658,17894,14494
17894,14494,12436
14494,12436,12447
12436,12447,13062
12447,13062,14226
13062,14226,15098
14226,15098,10278
15098,10278,28668
10278,28668,53090
28668,53090,42163
53090,42163,30398
42163,30398,30990
30398,30990,30990
30990,30990,35710
30990,35710,34368
35710,34368,33652
34368,33652,21943
33652,21943,25242
21943,25242,22703
25242,22703,20545
22703,20545,21887
20545,21887,23150
21887,23150,25678
23150,25678,25264
25678,25264,26438
25264,26438,25678
26438,25678,28675
25678,28675,33194
28675,33194,34849
33194,34849,41011
34849,41011,35587
41011,35587,23821
35587,23821,9886
23821,9886,8835
9886,8835,9237
8835,9237,6967
9237,6967,5290
6967,5290,11474
5290,11474,23948
11474,23948,26416
23948,26416,23922
26416,23922,17659
23922,17659,28787
17659,28787,13532
28787,13532,10848
13532,10848,19102
10848,19102,14807
19102,14807,8231
14807,8231,22625
8231,22625,23844
22625,23844,20612
23844,20612,16104
20612,16104,16820
16104,16820,17133
16820,17133,17860
17133,17860,18453
17860,18453,20757
18453,20757,19885
20757,19885,16462
19885,16462,18319
16462,18319,22345
18319,22345,22614
22345,22614,22066
22614,22066,16753
22066,16753,20768
16753,20768,13208
20768,13208,28452
13208,28452,24101
28452,24101,30979
24101,30979,23911
30979,23911,6542
23911,6542,11899
6542,11899,21383
11899,21383,31036
21383,31036,28877
31036,28877,26114
28877,26114,19784
26114,19784,20578
19784,20578,19799
20578,19799,20310
19799,20310,21898
20310,21898,20958
21898,20958,20086
20958,20086,21786
20086,21786,17883
21786,17883,11899
17883,11899,11765
11899,11765,10848
11765,10848,11418
10848,11418,15679
11418,15679,15926
15679,15926,17558
15926,17558,22144
17558,22144,11195
22144,11195,21093
11195,21093,23721
21093,23721,18297
23721,18297,16060
18297,16060,5457
16060,5457,7806
5457,7806,6665
7806,6665,7884
6665,7884,10770
7884,10770,11787
10770,11787,12358
11787,12358,12682
12358,12682,14762
12682,14762,14125
14762,14125,20388
14125,20388,25342
20388,25342,22882
25342,22882,26192
22882,26192,25208
26192,25208,22759
25208,22759,26103
22759,26103,22513
26103,22513,33641
22513,33641,27948
33641,27948,25902
27948,25902,34357
25902,34357,38036
34357,38036,42186
38036,42186,27881
42186,27881,24929
27881,24929,32981
24929,32981,19907
32981,19907,28172
19907,28172,14427
28172,14427,8914
14427,8914,14829
8914,14829,21160
14829,21160,21372
21160,21372,10781
21372,10781,11385
10781,11385,12078
11385,12078,11530
12078,11530,11631
11530,11631,12705
11631,12705,12951
12705,12951,14002
12951,14002,9416
14002,9416,8041
9416,8041,9857
8041,9857,7180
9857,7180,11944
7180,11944,12939
11944,12939,14561
12939,14561,19046
14561,19046,22323
19046,22323,23016
22323,23016,13208
23016,13208,10099
13208,10099,9797
10099,9797,20298
9797,20298,8421
20298,8421,13722
8421,13722,14445
13722,14445,15802
14445,15802,13946
15802,13946,8041
13946,8041,14214
8041,14214,11989
14214,11989,22636
11989,22636,24873
22636,24873,17368
24873,17368,16507
17368,16507,14337
16507,14337,12481
14337,12481,12783
12481,12783,20914
12783,20914,21204
20914,21204,25387
21204,25387,25398
25387,25398,24929
25398,24929,24873
24929,24873,18319
24873,18319,20768
18319,20768,22222
20768,22222,33182
22222,33182,37243
33182,37243,41078
37243,41078,41940
41078,41940,41563
41940,41563,44948
41563,44948,39747
44948,39747,43572
39747,43572,42376
43572,42376,36828
42376,36828,38495
36828,38495,32142
38495,32142,35061
32142,35061,41928
35061,41928,34245
41928,34245,32019
34245,32019,26875
32019,26875,24034
26875,24034,22177
24034,22177,20846
22177,20846,23039
20846,23039,15411
23039,15411,15299
15411,15299,22636
15299,22636,20120
22636,20120,24101
20120,24101,21450
24101,21450,13890
21450,13890,16272
13890,16272,16239
16272,16239,16753
16239,16753,18934
16753,18934,19393
18934,19393,21160
19393,21160,27132
21160,27132,31046
27132,31046,30308
31046,30308,32880
30308,32880,30498
32880,30498,32791
30498,32791,27814
32791,27814,31404
27814,31404,34169
31404,34169,36113
34169,36113,33428
36113,33428,36101
33428,36101,20399
36101,20399,17581
20399,17581,14214
17581,14214,13991
14214,13991,14337
13991,14337,14371
14337,14371,15154
14371,15154,16574
15154,16574,15064
16574,15064,19325
15064,19325,29044
19325,29044,25700
29044,25700,16932
25700,16932,15914
16932,15914,20243
15914,20243,22077
20243,22077,21696
22077,21696,20645
21696,20645,17939
20645,17939,18408
17939,18408,18722
18408,18722,19191
18722,19191,19575
19191,19575,21081
19575,21081,22278
21081,22278,25018
22278,25018,33496
25018,33496,38316
33496,38316,36258
38316,36258,36951
36258,36951,32601
36951,32601,33742
32601,33742,33697
33742,33697,18106
33697,18106,17133
18106,17133,16563
17133,16563,17916
16563,17916,19795
17916,19795,21316
19795,21316,18319
21316,18319,16692
18319,16692,14371
16692,14371,12022
14371,12022,13219
12022,13219,14270
13219,14270,15433
14270,15433,17290
15433,17290,17961
17290,17961,24000
17961,24000,29346
24000,29346,43349
29346,43349,40653
43349,40653,42633
40653,42633,40870
42633,40870,41459
40870,41459,37422
41459,37422,36348
37422,36348,29415
36348,29415,26596
29415,26596,26819
26596,26819,19448
26819,19448,16608
19448,16608,18699
16608,18699,18218
18699,18218,19908
18218,19908,20746
19908,20746,21898
20746,21898,26304
21898,26304,22323
26304,22323,19135
22323,19135,19974
19135,19974,20265
19974,20265,21898
20265,21898,21943
21898,21943,22032
21943,22032,24906
22032,24906,28452
24906,28452,31091
28452,31091,33373
31091,33373,28664
33373,28664,30845
28664,30845,31482
30845,31482,25410
31482,25410,24213
25410,24213,16563
24213,16563,16858
16563,16858,17916
16858,17916,18632
17916,18632,17089
18632,17089,14630
17089,14630,12582
14630,12582,11966
12582,11966,10993
11966,10993,14158
10993,14158,13912
14158,13912,15411
13912,15411,17704
15411,17704,23061
17704,23061,32120
23061,32120,27669
32120,27669,35307
27669,35307,38786
35307,38786,32724
38786,32724,27165
32724,27165,24973
27165,24973,25208
24973,25208,25857
25208,25857,28575
25857,28575,24671
28575,24671,16731
24671,16731,18006
16731,18006,19728
18006,19728,18252
19728,18252,19784
18252,19784,20701
19784,20701,18453
20701,18453,18587
18453,18587,22558
18587,22558,22703
22558,22703,24962
22703,24962,21831
24962,21831,21831
21831,21831,21070
21831,21070,13402
21070,13402,12883
13402,12883,12772
